suite,phase,http_status,prompt_tokens,cache_hit_tokens,cache_miss_tokens,hit_rate_percent,latency_ms
exact_extension,call_1,200,6893,0,6893,0.00,996
exact_extension,call_2,200,6906,6784,122,98.23,1020
divergent_suffix,A+B,200,7074,0,7074,0.00,1250
divergent_suffix,A+C,200,7074,7040,34,99.52,1055
divergent_suffix,A+D,200,7072,7040,32,99.55,945
stable_prefix,run_1,200,5901,0,5901,0.00,1540
stable_prefix,run_2,200,5902,5888,14,99.76,865
stable_prefix,run_3,200,5899,5888,11,99.81,1192
stable_prefix,run_4,200,5901,5888,13,99.78,1037
stable_prefix,run_5,200,5900,5888,12,99.80,1033
volatile_first_line,run_1,200,5915,0,5915,0.00,1239
volatile_first_line,run_2,200,5916,0,5916,0.00,1110
volatile_first_line,run_3,200,5913,0,5913,0.00,1139
volatile_first_line,run_4,200,5915,0,5915,0.00,1085
volatile_first_line,run_5,200,5914,0,5914,0.00,1190
user_id_isolation,user_A_cold,200,5901,0,5901,0.00,1217
user_id_isolation,user_A_warm,200,5901,5888,13,99.78,1166
user_id_isolation,user_B_first_request,200,5901,0,5901,0.00,1039
user_id_isolation,user_B_warm,200,5901,5888,13,99.78,1086
user_id_isolation,user_A_recheck,200,5901,5888,13,99.78,999
prefix_length,92_token_prompt,200,92,0,92,0.00,
prefix_length,132_token_prompt,200,132,0,132,0.00,
prefix_length,212_token_prompt,200,212,128,84,60.38,
prefix_length,372_token_prompt,200,372,256,116,68.82,
prefix_length,692_token_prompt,200,692,640,52,92.49,
prefix_length,1332_token_prompt,200,1332,1280,52,96.10,
prefix_length,2612_token_prompt,200,2612,2560,52,98.01,
prefix_length,5172_token_prompt,200,5172,5120,52,98.99,
mutation,middle_line_changed_second_call,200,5748,0,5748,0.00,1710
mutation,late_line_changed_second_call,200,6201,0,6201,0.00,1241
